SUBTYPE	CODE	DISPLAY	COMMENT
self_harm	T43.622D	Poisoning by amphetamines, intentional self-harm, subs	
self_harm	T43.622S	Poisoning by amphetamines, intentional self-harm, sequela	
self_harm	T43.632	Poisoning by methylphenidate, intentional self-harm	
self_harm	T43.632A	Poisoning by methylphenidate, intentional self-harm, init	
self_harm	T43.632D	Poisoning by methylphenidate, intentional self-harm, subs	
self_harm	T43.632S	Poisoning by methylphenidate, intentional self-harm, sequela	
self_harm	T43.692	Poisoning by other psychostimulants, intentional self-harm	
self_harm	T43.692A	Poisoning by oth psychostimulants, self-harm, init	
self_harm	T43.692D	Poisoning by oth psychostimulants, self-harm, subs	
self_harm	T43.692S	Poisoning by oth psychostimulants, self-harm, sequela	
self_harm	T43.8X2	Poisoning by other psychotropic drugs, intentional self-harm	
self_harm	T43.8X2A	Poisoning by oth psychotropic drugs, self-harm, init	
self_harm	T43.8X2D	Poisoning by oth psychotropic drugs, self-harm, subs	
self_harm	T43.8X2S	Poisoning by oth psychotropic drugs, self-harm, sequela	
self_harm	T43.92XA	Poisoning by unsp psychotropic drug, self-harm, init	
self_harm	T43.92XD	Poisoning by unsp psychotropic drug, self-harm, subs	
self_harm	T43.92XS	Poisoning by unsp psychotropic drug, self-harm, sequela	
self_harm	T44.0X2	Poisoning by anticholinesterase agents, self-harm	
self_harm	T44.0X2A	Poisoning by anticholinesterase agents, self-harm, init	
self_harm	T44.0X2D	Poisoning by anticholinesterase agents, self-harm, subs	
self_harm	T44.0X2S	Poisoning by anticholinesterase agents, self-harm, sequela	
self_harm	T44.1X2	Poisoning by oth parasympathomimetics, intentional self-harm	
self_harm	T44.1X2A	Poisoning by oth parasympathomimetics, self-harm, init	
self_harm	T44.1X2D	Poisoning by oth parasympathomimetics, self-harm, subs	
self_harm	T44.1X2S	Poisoning by oth parasympathomimetics, self-harm, sequela	
self_harm	T44.2X2	Poisoning by ganglionic blocking drugs, self-harm	
self_harm	T44.2X2A	Poisoning by ganglionic blocking drugs, self-harm, init	
self_harm	T44.2X2D	Poisoning by ganglionic blocking drugs, self-harm, subs	
self_harm	T44.2X2S	Poisoning by ganglionic blocking drugs, self-harm, sequela	
self_harm	T44.3X2	Poisoning by oth parasympath and spasmolytics, self-harm	
self_harm	T44.3X2A	Poisn by oth parasympath and spasmolytics, self-harm, init	
self_harm	T44.3X2D	Poisn by oth parasympath and spasmolytics, self-harm, subs	
self_harm	T44.3X2S	Poisn by oth parasympath and spasmolytics, slf-hrm, sequela	
self_harm	T44.4X2	Poisoning by predom alpha-adrenocpt agonists, self-harm	
self_harm	T44.4X2A	Poisn by predom alpha-adrenocpt agonists, self-harm, init	
self_harm	T44.4X2D	Poisn by predom alpha-adrenocpt agonists, self-harm, subs	
self_harm	T44.4X2S	Poisn by predom alpha-adrenocpt agonists, self-harm, sequela	
self_harm	T44.5X2	Poisoning by predom beta-adrenocpt agonists, self-harm	
self_harm	T44.5X2A	Poisoning by predom beta-adrenocpt agonists, self-harm, init	
